,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.17506,0.89052,0.34942,0.51065,0.64044
Exp2,0.17669,0.89017,0.34758,0.50977,0.64165
Exp3,0.17532,0.88859,0.34563,0.50903,0.6411
Exp4,0.17845,0.89319,0.34812,0.51205,0.64374
Exp5,0.17766,0.89165,0.34487,0.51136,0.64391
Exp6,0.17502,0.88969,0.34435,0.50997,0.64257
Exp7,0.17708,0.89055,0.34435,0.50986,0.64385
Exp8,0.17643,0.89228,0.35065,0.51163,0.64145
Exp9,0.1744,0.88567,0.34592,0.50679,0.63868
Exp10,0.17781,0.89078,0.34521,0.51106,0.64276
