,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.17639,0.00131,0.17558,0.1772,0.1744,0.17845
TestRMSE,0.89031,0.00198,0.88908,0.89153,0.88567,0.89319
Step1,0.34661,0.0021,0.34531,0.34791,0.34435,0.35065
Step2,0.51022,0.00145,0.50932,0.51112,0.50679,0.51205
Step3,0.64202,0.0016,0.64102,0.64301,0.63868,0.64391
