,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.54492,73.0678,73.0678,88.51437,124.3247
Exp2,1.58785,76.64549,76.64549,91.59181,126.47813
Exp3,1.60503,74.07657,74.07657,89.27284,124.77617
Exp4,1.55241,72.82472,72.82472,88.30284,123.0473
Exp5,1.5797,73.94857,73.94857,89.66763,125.3671
Exp6,1.51127,74.52158,74.52158,89.45041,124.76417
Exp7,1.57851,74.61848,74.61848,89.18598,122.99776
Exp8,1.55484,75.07437,75.07437,90.2151,124.73643
Exp9,1.5403,76.59236,76.59236,91.78066,127.1968
Exp10,1.55655,76.83629,76.83629,91.41768,126.21247
