,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-ew3,0.6778,0.1579,0.1155,0.8411,0.5912,0.2957,0.3775,-0.2601
RNN-ew3,0.5047,0.5461,0.0086,0.5157,0.4946,0.0156,0.5644,0.5262
GRU-ew3,0.505,0.5449,0.0224,0.5236,0.4735,0.0396,0.6006,0.5117
DNN-ew3,0.6,0.3587,0.0015,0.6015,0.5979,0.0033,0.3632,0.3555
LSTM-ew3,0.5159,0.5252,0.0202,0.5413,0.4918,0.0372,0.5691,0.4781
