,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-ew3,0.8603,0.0243,0.9037,0.8152,-0.3189,0.0746,-0.1835,-0.4542
RNN-ew3,0.8098,0.0184,0.8481,0.7894,-0.1685,0.0536,-0.1097,-0.2808
GRU-ew3,0.8546,0.0278,0.8937,0.7968,-0.3018,0.0835,-0.1307,-0.4221
DNN-ew3,0.8185,0.0517,0.8954,0.7585,-0.1977,0.1526,-0.0245,-0.4277
LSTM-ew3,0.8359,0.0167,0.8674,0.7997,-0.2448,0.0495,-0.1388,-0.3399
