,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-ew3,0.4976,0.4747,0.079,19.3496,6.8523,9.765625e-08,0.217,0.8043,0.3367,0.444,0.7979,-0.1531,0.0311,0.1229,0.057,15.9012,41.8363,7.9312,5.1774,14.1739,3.1343
RNN-ew3,0.2348,0.9017,0.0421,3.937,1.4556,7.8125e-07,0.0041,0.2393,0.2294,0.0034,0.9062,0.8979,0.0004,0.0426,0.0416,0.0283,3.9762,3.9107,0.0402,1.5009,1.4033
GRU-ew3,0.2395,0.8977,0.0382,2.7414,1.1291,3.125e-06,0.0066,0.2474,0.2312,0.0056,0.9047,0.8909,0.0002,0.0385,0.038,0.0946,2.8718,2.6504,0.015,1.1503,1.1168
DNN-ew3,0.3477,0.7845,0.0568,8.143,3.2571,3.90625e-07,0.0012,0.3488,0.3461,0.0015,0.7866,0.7831,0.0001,0.0569,0.0567,0.1215,8.278,7.9836,0.0114,3.2731,3.2475
LSTM-ew3,0.2469,0.8912,0.0393,2.6507,1.0721,1.953125e-07,0.0084,0.2587,0.2396,0.0075,0.8977,0.8807,0.0006,0.0402,0.0387,0.0836,2.7163,2.5327,0.025,1.1044,1.0436
