,0,1,2
CNN-ew3,9.765625e-08,9.765625e-08,9.765625e-08
RNN-ew3,1.5625e-06,3.90625e-07,7.8125e-07
GRU-ew3,6.25e-06,3.125e-06,3.125e-06
DNN-ew3,9.765625e-08,3.90625e-07,3.90625e-07
LSTM-ew3,7.8125e-07,7.8125e-07,1.953125e-07
