,0,1,2
CNN-ew3,0.7794,0.7979,-0.1531
RNN-ew3,0.9062,0.9011,0.8979
GRU-ew3,0.8909,0.8975,0.9047
DNN-ew3,0.7839,0.7831,0.7866
LSTM-ew3,0.8977,0.8807,0.8952
