,0,1,2
CNN-ew3,0.6011,0.5912,0.8411
RNN-ew3,0.4946,0.5038,0.5157
GRU-ew3,0.5236,0.5179,0.4735
DNN-ew3,0.6015,0.6006,0.5979
LSTM-ew3,0.5145,0.5413,0.4918
