,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,0.20261,0.8971,0.34342,0.51518,0.64918
Exp2,0.20513,0.88583,0.33755,0.50715,0.64309
Exp3,0.20616,0.88541,0.34156,0.50576,0.64148
Exp4,0.20301,0.88298,0.34439,0.50288,0.63888
Exp5,0.20697,0.88045,0.33679,0.50148,0.64053
Exp6,0.20835,0.88226,0.34381,0.50115,0.63955
Exp7,0.203,0.89004,0.35259,0.50846,0.63978
Exp8,0.21373,0.89411,0.34035,0.51182,0.64934
Exp9,0.2112,0.89292,0.33997,0.50875,0.65031
Exp10,0.20379,0.904,0.35297,0.5175,0.65178
