,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.2064,0.00356,0.20419,0.2086,0.20261,0.21373
TestRMSE,0.88951,0.00713,0.88509,0.89393,0.88045,0.904
Step1,0.34334,0.00529,0.34006,0.34662,0.33679,0.35297
Step2,0.50801,0.00528,0.50474,0.51128,0.50115,0.5175
Step3,0.64439,0.00487,0.64137,0.64741,0.63888,0.65178
