,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.0231,0.00048,0.0228,0.0234,0.02241,0.02402
TestMSE,0.11577,0.00204,0.11451,0.11704,0.11274,0.12017
Step1,0.11577,0.00204,0.11451,0.11704,0.11274,0.12017
Step2,0.25693,0.00224,0.25553,0.25832,0.25251,0.25971
Step3,0.41526,0.00233,0.41382,0.4167,0.41127,0.41994
