,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-sg9,26.7773,0.0,26.7773,26.7773,-1.1962,0.0,-1.1962,-1.1962,0.3871,0.0,0.3871,0.3871,230.8636,0.0,230.8636,230.8636
RNN-sg9,17.0402,0.0,17.0402,17.0402,0.1106,0.0,0.1106,0.1106,0.134,0.0,0.134,0.134,71.1198,0.0,71.1198,71.1198
GRU-sg9,35.562,0.0,35.562,35.562,-2.8736,0.0,-2.8736,-2.8736,0.6877,0.0,0.6877,0.6877,391.0248,0.0,391.0248,391.0248
DNN-sg9,40.7999,0.0,40.7999,40.7999,-4.0987,0.0,-4.0987,-4.0987,0.8736,0.0,0.8736,0.8736,506.8548,0.0,506.8548,506.8548
LSTM-sg9,23.6533,0.0,23.6533,23.6533,-0.7137,0.0,-0.7137,-0.7137,0.3058,0.0,0.3058,0.3058,171.9758,0.0,171.9758,171.9758
