,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-1.1349,-1.61207,0.25586,-1.48638,-0.38155
Exp2,-1.22142,-1.73353,-0.04448,0.02468,-1.71372
Exp3,-1.26066,-1.75508,-0.26707,-0.82652,-0.66149
Exp4,-4.10541,-4.51898,-1.82177,-1.88336,-0.81385
Exp5,-2.26702,-2.69283,-1.19261,-1.7141,0.21387
Exp6,-2.87128,-3.32394,-1.26881,-0.67635,-1.37877
Exp7,-3.68752,-4.15975,-1.55454,-1.88499,-0.72022
Exp8,-2.5006,-2.97926,1.18636,-3.33847,-0.82715
Exp9,-3.13832,-3.60908,-1.35845,-1.99153,-0.25909
Exp10,-3.30537,-3.64921,-1.38212,-2.3695,0.10241
