,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.13718,0.11547,1.03596,1.2384,0.94716,1.30302
TestRMSE,1.29908,0.07723,1.23139,1.36677,1.16781,1.40228
Step1,0.68376,0.11803,0.5803,0.78722,0.49779,0.85723
Step2,0.77687,0.07017,0.71537,0.83838,0.69062,0.90133
Step3,0.77634,0.03093,0.74923,0.80345,0.73824,0.81859
