,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,12391.53326,16436.76339,16588.55403,16380.95674,16340.77938
Exp2,12435.06198,16486.62774,16745.10122,16168.06421,16546.71778
Exp3,12372.82301,16415.24843,16250.26239,16441.60266,16553.88025
Exp4,9011.063,12742.09505,3507.46757,14628.80689,20090.01069
Exp5,12474.77002,16531.98015,16697.6117,16733.6648,16164.66393
Exp6,12341.6713,16381.59077,16394.28165,16472.86954,16277.62113
Exp7,12590.69389,16664.96658,16705.17262,16634.71666,16655.01045
Exp8,25859.74558,34387.41811,22597.01348,77962.72548,2602.51538
Exp9,46794.2703,62466.94262,30900.84662,71490.50345,85009.47778
Exp10,12473.95074,16531.17532,16559.2092,16642.0483,16392.26847
