,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-ew2,0.8196,0.0433,0.8517,0.7584,-0.1995,0.1241,-0.0241,-0.2917
RNN-ew2,0.7182,0.0046,0.7231,0.7121,0.0815,0.0117,0.097,0.0688
GRU-ew2,0.7097,0.0265,0.7444,0.68,0.1018,0.0674,0.1767,0.0133
DNN-ew2,0.7558,0.0023,0.7587,0.753,-0.0173,0.0062,-0.0097,-0.0249
LSTM-ew2,0.7311,0.0247,0.7623,0.7019,0.0472,0.0645,0.1227,-0.0349
