,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
tf-ews,0.7724,0.0811,0.8503,0.6162,-0.0749,0.2092,0.3234,-0.2885,0.1243,0.0144,0.1391,0.0966,5.2446,0.7835,6.4761,4.3904
tf-sg7,0.7137,0.1082,0.8495,0.5904,0.0712,0.2789,0.3788,-0.2863,0.1151,0.0215,0.1415,0.0826,4.598,0.5799,5.461,3.9563
tf-obs,0.6624,0.0828,0.7665,0.5524,0.2059,0.1942,0.4561,-0.047,0.1159,0.0322,0.1769,0.0885,5.7116,0.467,6.4263,5.0639
tf-or,0.7923,0.1187,0.9265,0.5706,-0.144,0.3111,0.4197,-0.5299,0.1338,0.026,0.1591,0.0918,5.4647,0.7031,6.681,4.7063
