,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,2.14884,0.91538,1.58148,2.7162,1.02669,3.77704
TestMSE,1.5112,0.65968,1.10232,1.92007,0.80586,2.65717
Step1,1.71426,0.62167,1.32894,2.09957,0.70232,2.67546
Step2,1.40869,1.00386,0.7865,2.03089,0.51907,3.29902
Step3,1.41064,0.98393,0.80079,2.02048,0.56051,3.72119
