,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.73098,73.7113,73.7113,99.41367,149.28948
Exp2,1.66531,73.78967,73.78967,100.47407,151.08882
Exp3,1.65535,72.16799,72.16799,97.67807,146.91797
Exp4,1.61539,74.44387,74.44387,101.51772,152.42938
Exp5,1.67585,71.09996,71.09996,97.56362,147.20603
Exp6,1.68265,69.75698,69.75698,97.14592,148.52051
Exp7,1.67938,74.72203,74.72203,100.87135,151.3148
Exp8,1.70878,71.1094,71.1094,97.06922,147.01255
Exp9,1.718,73.63605,73.63605,99.67872,150.25799
Exp10,1.66613,72.59717,72.59717,98.97055,149.37889
