,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-3.45269,-4.13243,-0.52121,-2.59644,-1.01477
Exp2,-3.18522,-4.21945,-0.01512,-0.47681,-3.72753
Exp3,-4.32928,-4.78707,-0.77174,-2.28105,-1.73428
Exp4,-1.3949,-1.81607,0.20574,-1.36266,-0.65916
Exp5,-0.40093,-0.94839,-0.07044,-0.80716,-0.07079
Exp6,-1.12358,-1.59308,-0.23252,-0.9872,-0.37336
Exp7,-1.20262,-1.76913,-0.3802,-0.6528,-0.73612
Exp8,-0.79121,-0.99021,-1.68186,0.25751,0.43414
Exp9,-3.22393,-3.69488,-0.23266,-1.97891,-1.48331
Exp10,-4.91751,-5.19342,-1.36159,-1.69906,-2.13277
