,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
MLP_1,0.435,-0.6704,0.3209,-0.4106,0.345,0.5238,0.2668,-0.2172,0.2866,0.3126,0.3907,0.5669,0.5631,0.5146,0.4357,0.5139,0.6074,0.4551,0.4723,0.214,0.0889,-0.2695,0.4939,0.6963,0.423,0.7358,0.1361,-0.0654,0.1676,0.5521,0.3691,0.693,0.5378,0.6325,0.0264,0.3155,-2.3131,0.4305,0.0713,0.4075
MLP_7,0.3581,0.5943,0.2379,0.2475,0.3221,0.5958,0.1734,0.5635,0.5865,0.2857,0.2611,-0.0857,0.2924,-0.2968,0.2386,0.351,0.5288,0.3372,0.3674,-0.4924,-0.0372,-0.4673,0.2693,0.2509,0.3892,0.493,0.4583,0.3075,0.6247,0.2275,-0.0326,-0.6027,0.5739,0.1523,0.247,0.4731,0.2107,-0.2121,0.3439,0.2137
LSTM_1,0.3807,0.3692,0.3038,0.2914,0.346,0.3351,0.3238,0.3439,0.3547,0.3041,0.3122,0.3302,0.4443,0.315,0.2953,0.3452,0.3472,0.3979,0.352,0.3376,0.3798,0.2708,0.3683,0.3534,0.3433,0.2752,0.3188,0.3802,0.337,0.3216,0.2941,0.2772,0.2582,0.3155,0.313,0.3252,0.3661,0.2625,0.4695,0.2994
LSTM_7,0.5655,0.4317,0.4994,0.5369,0.5372,0.4762,0.4974,0.5135,0.4919,0.5131,0.5466,0.4689,0.5214,0.4577,0.5587,0.5506,0.5403,0.4712,0.4517,0.5877,0.5585,0.4334,0.4332,0.5389,0.4573,0.4069,0.3446,0.5527,0.5423,0.5048,0.4679,0.4745,0.5688,0.5311,0.4781,0.5274,0.3993,0.5539,0.4535,0.4743
Transformer,0.7301,0.7405,0.3991,0.8,0.7582,0.8029,0.7891,0.6959,0.7828,0.8025,0.7904,0.5386,0.7365,0.7107,0.661,0.7375,0.7742,0.5555,0.4807,0.7815,0.8027,0.7587,0.7662,0.6081,0.7406,0.5917,0.7227,0.8109,0.8289,0.7904,0.7799,0.8377,0.7677,0.7866,0.6811,0.7801,0.7023,0.7912,0.5067,0.8427
