,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
MLP_1,0.9852,1.694,1.0801,1.5567,1.0608,0.9045,1.1223,1.446,1.1071,1.0867,1.0231,0.8625,0.8664,0.9132,0.9846,0.9138,0.8212,0.9675,0.9521,1.162,1.2511,1.4768,0.9324,0.7223,0.9956,0.6738,1.2182,1.3529,1.1958,0.8772,1.0411,0.7263,0.8911,0.7946,1.2933,1.0844,2.3857,0.9892,1.2631,1.0089
MLP_7,1.0501,0.8348,1.1442,1.137,1.0791,0.8333,1.1916,0.866,0.8429,1.1077,1.1267,1.3657,1.1026,1.4926,1.1437,1.0559,0.8998,1.0671,1.0425,1.6012,1.3349,1.5877,1.1204,1.1344,1.0244,0.9333,0.9647,1.0907,0.803,1.152,1.3319,1.6593,0.8556,1.2068,1.1373,0.9514,1.1645,1.443,1.0617,1.1622
LSTM_1,1.0315,1.041,1.0936,1.1033,1.06,1.0687,1.0778,1.0617,1.0529,1.0934,1.087,1.0727,0.9771,1.0848,1.1003,1.0606,1.059,1.017,1.0551,1.0667,1.0322,1.1193,1.0418,1.054,1.0621,1.1159,1.0818,1.0318,1.0673,1.0796,1.1012,1.1144,1.1288,1.0844,1.0864,1.0767,1.0436,1.1256,0.9547,1.0971
LSTM_7,0.8639,0.988,0.9273,0.892,0.8916,0.9486,0.9292,0.9142,0.9343,0.9146,0.8826,0.9552,0.9067,0.9652,0.8707,0.8786,0.8887,0.9531,0.9706,0.8416,0.8709,0.9866,0.9868,0.89,0.9655,1.0094,1.0611,0.8766,0.8868,0.9224,0.9561,0.9502,0.8607,0.8976,0.9469,0.9011,1.0158,0.8754,0.969,0.9503
Transformer,0.6809,0.6676,1.016,0.5861,0.6446,0.5819,0.6019,0.7228,0.6109,0.5825,0.6001,0.8903,0.6728,0.705,0.7631,0.6715,0.6228,0.8739,0.9445,0.6126,0.5822,0.6438,0.6337,0.8205,0.6676,0.8375,0.6902,0.57,0.5421,0.6001,0.6148,0.5281,0.6318,0.6054,0.7401,0.6146,0.7151,0.5989,0.9206,0.5198
