,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.70223,0.41391,1.44569,1.95877,0.98381,2.40455
TestRMSE,1.78434,0.28307,1.60889,1.9598,1.38642,2.26368
Step1,0.93066,0.25505,0.77258,1.08874,0.62607,1.33818
Step2,1.0741,0.27136,0.90591,1.2423,0.75425,1.64285
Step3,1.03942,0.15846,0.9412,1.13763,0.78512,1.28246
