,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,1.68916,0.02542,1.6734,1.70492,1.65204,1.72744
TestMSE,73.82634,1.08455,73.15412,74.49855,71.39844,75.02229
Step1,73.82634,1.08455,73.15412,74.49855,71.39844,75.02229
Step2,99.98657,1.19844,99.24377,100.72937,97.83033,101.50878
Step3,150.13676,1.65081,149.11358,151.15994,146.703,152.83182
