,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,1.20269,0.05722,1.15254,1.25284,1.11964,1.29233
TestRMSE,1.31637,0.07602,1.24974,1.383,1.20376,1.4191
Step1,0.70256,0.1658,0.55723,0.84788,0.43412,0.92685
Step2,0.79384,0.02045,0.77591,0.81177,0.76987,0.82501
Step3,0.76567,0.0262,0.74271,0.78863,0.72479,0.79542
