Datetime,Colour
2021-12-23 00:00:00,96.10000000000001
2021-12-23 01:00:00,93.40000000000002
2021-12-23 02:00:00,91.19999999999996
2021-12-23 03:00:00,89.11428571428567
2021-12-23 04:00:00,88.11428571428567
2021-12-23 05:00:00,86.92857142857139
2021-12-23 06:00:00,87.62857142857138
2021-12-23 07:00:00,89.6428571428571
2021-12-23 08:00:00,94.28571428571423
2021-12-23 09:00:00,102.32857142857137
2021-12-23 10:00:00,110.4714285714285
2021-12-23 11:00:00,115.22857142857136
2021-12-23 12:00:00,117.74285714285708
2021-12-23 13:00:00,120.29999999999993
2021-12-23 14:00:00,120.94285714285708
2021-12-23 15:00:00,120.1714285714285
2021-12-23 16:00:00,119.92857142857136
2021-12-23 17:00:00,121.87142857142851
2021-12-23 18:00:00,124.24285714285708
2021-12-23 19:00:00,125.6714285714285
2021-12-23 20:00:00,126.79999999999993
2021-12-23 21:00:00,126.14285714285708
2021-12-23 22:00:00,123.64285714285708
2021-12-23 23:00:00,120.4571428571428
2021-12-24 00:00:00,117.69999999999993
2021-12-24 01:00:00,116.38571428571423
2021-12-24 02:00:00,106.58571428571423
2021-12-24 03:00:00,100.42857142857137
2021-12-24 04:00:00,99.19999999999995
2021-12-24 05:00:00,105.24285714285709
2021-12-24 06:00:00,105.24285714285708
2021-12-24 07:00:00,106.78571428571422
2021-12-24 08:00:00,111.71428571428565
2021-12-24 09:00:00,115.9714285714285
2021-12-24 10:00:00,117.78571428571422
2021-12-24 11:00:00,118.01428571428565
2021-12-24 12:00:00,118.88571428571422
2021-12-24 13:00:00,116.49999999999994
2021-12-24 14:00:00,113.52857142857137
2021-12-24 15:00:00,112.94285714285708
2021-12-24 16:00:00,112.82857142857137
2021-12-24 17:00:00,111.04285714285709
2021-12-24 18:00:00,109.88571428571423
2021-12-24 19:00:00,109.6571428571428
2021-12-24 20:00:00,109.62857142857138
2021-12-24 21:00:00,108.91428571428565
2021-12-24 22:00:00,107.9571428571428
2021-12-24 23:00:00,107.34285714285708
2021-12-25 00:00:00,106.61428571428567
2021-12-25 01:00:00,104.91428571428567
2021-12-25 02:00:00,103.27142857142852
2021-12-25 03:00:00,100.54285714285709
2021-12-25 04:00:00,98.41428571428567
2021-12-25 05:00:00,97.39999999999995
2021-12-25 06:00:00,99.17142857142852
2021-12-25 07:00:00,100.61428571428567
2021-12-25 08:00:00,103.51428571428566
2021-12-25 09:00:00,108.71428571428565
2021-12-25 10:00:00,114.31428571428566
2021-12-25 11:00:00,117.84285714285708
2021-12-25 12:00:00,118.82857142857137
2021-12-25 13:00:00,118.28571428571422
2021-12-25 14:00:00,117.4714285714285
2021-12-25 15:00:00,117.82857142857137
2021-12-25 16:00:00,119.62857142857136
2021-12-25 17:00:00,121.28571428571422
2021-12-25 18:00:00,122.49999999999993
2021-12-25 19:00:00,123.92857142857136
2021-12-25 20:00:00,124.89999999999992
2021-12-25 21:00:00,124.79999999999993
2021-12-25 22:00:00,123.37142857142851
2021-12-25 23:00:00,122.17142857142852
2021-12-26 00:00:00,121.08571428571422
2021-12-26 01:00:00,119.28571428571422
2021-12-26 02:00:00,115.19999999999993
2021-12-26 03:00:00,109.7571428571428
2021-12-26 04:00:00,105.58571428571423
2021-12-26 05:00:00,104.97142857142852
2021-12-26 06:00:00,105.89999999999995
2021-12-26 07:00:00,105.39999999999993
2021-12-26 08:00:00,105.78571428571422
2021-12-26 09:00:00,110.41428571428565
2021-12-26 10:00:00,116.77142857142852
2021-12-26 11:00:00,120.08571428571422
2021-12-26 12:00:00,121.34285714285707
2021-12-26 13:00:00,122.1571428571428
2021-12-26 14:00:00,122.7571428571428
2021-12-26 15:00:00,122.87142857142851
2021-12-26 16:00:00,123.17142857142849
2021-12-26 17:00:00,122.74285714285708
2021-12-26 18:00:00,121.54285714285707
2021-12-26 19:00:00,120.4714285714285
2021-12-26 20:00:00,118.64285714285708
2021-12-26 21:00:00,116.27142857142852
2021-12-26 22:00:00,112.94285714285708
2021-12-26 23:00:00,110.42857142857137
2021-12-27 00:00:00,107.74285714285708
2021-12-27 01:00:00,105.67142857142852
2021-12-27 02:00:00,103.2428571428571
2021-12-27 03:00:00,101.17142857142852
2021-12-27 04:00:00,99.99999999999994
2021-12-27 05:00:00,101.22857142857137
2021-12-27 06:00:00,100.3571428571428
2021-12-27 07:00:00,100.07142857142851
2021-12-27 08:00:00,100.07142857142853
2021-12-27 09:00:00,103.9571428571428
2021-12-27 10:00:00,107.05714285714281
2021-12-27 11:00:00,110.84285714285708
2021-12-27 12:00:00,112.87142857142851
2021-12-27 13:00:00,114.62857142857136
2021-12-27 14:00:00,115.15714285714279
2021-12-27 15:00:00,115.38571428571423
2021-12-27 16:00:00,115.91428571428565
2021-12-27 17:00:00,117.04285714285709
2021-12-27 18:00:00,117.24285714285709
2021-12-27 19:00:00,116.54285714285709
2021-12-27 20:00:00,116.89999999999993
2021-12-27 21:00:00,115.82857142857137
2021-12-27 22:00:00,113.1571428571428
2021-12-27 23:00:00,109.91428571428565
2021-12-28 00:00:00,108.15714285714279
2021-12-28 01:00:00,105.58571428571423
2021-12-28 02:00:00,102.78571428571423
2021-12-28 03:00:00,102.8571428571428
2021-12-28 04:00:00,105.31428571428566
2021-12-28 05:00:00,109.14285714285708
2021-12-28 06:00:00,109.4571428571428
2021-12-28 07:00:00,109.08571428571422
2021-12-28 08:00:00,109.01428571428566
2021-12-28 09:00:00,113.11428571428566
2021-12-28 10:00:00,117.64285714285708
2021-12-28 11:00:00,121.75714285714278
