,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,-0.0031,-0.1171,-0.0521,-0.04342,-0.02158
Exp2,-0.0019,-0.11513,-0.05228,-0.04288,-0.01998
Exp3,-0.00427,-0.11643,-0.05349,-0.04333,-0.0196
Exp4,-0.00667,-0.11204,-0.05021,-0.04169,-0.02014
Exp5,-0.00623,-0.11563,-0.05076,-0.04315,-0.02172
Exp6,-0.00477,-0.12249,-0.05366,-0.04536,-0.02347
Exp7,-0.00921,-0.12562,-0.0541,-0.04624,-0.02528
Exp8,-0.00686,-0.12451,-0.05261,-0.04585,-0.02605
Exp9,-0.00523,-0.11259,-0.0525,-0.04122,-0.01887
Exp10,-0.00855,-0.12331,-0.05531,-0.04516,-0.02284
