,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,2.28978,80.47158,80.47158,113.8365,170.79064
Exp2,2.26726,78.6969,78.6969,111.47561,167.65477
Exp3,2.26022,82.42587,82.42587,113.77974,169.10671
Exp4,2.20144,82.07178,82.07178,111.93362,167.487
Exp5,2.28882,81.8397,81.8397,113.36126,168.32907
Exp6,2.37044,80.03306,80.03306,111.62609,167.21362
Exp7,2.29907,80.04939,80.04939,113.03954,168.8728
Exp8,2.25059,78.79502,78.79502,109.91589,165.05145
Exp9,2.22558,82.69926,82.69926,113.36032,168.36359
Exp10,2.22645,79.04835,79.04835,113.01866,170.1298
