,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,1.58368,1.71693,1.07831,0.94471,0.94478
Exp2,1.55937,1.72264,0.97077,1.1053,0.89632
Exp3,2.12278,2.28331,1.38819,1.57598,0.89593
Exp4,2.3156,2.53304,1.1632,0.90355,2.06079
Exp5,2.76942,3.22973,2.21758,1.99388,1.24013
Exp6,2.2387,2.43232,1.59808,0.87165,1.61323
Exp7,2.79554,3.05182,2.31021,1.64079,1.1333
Exp8,2.37042,2.54916,1.80562,1.37293,1.16318
Exp9,2.2966,2.55331,1.79152,1.24408,1.32745
Exp10,1.616,1.74662,1.14392,0.95482,0.91129
