,0,1,2,3,4
CNN-ew4,0.7675,0.7826,1.0926,0.7489,0.7574
RNN-ew4,0.5798,0.58,0.5852,0.5475,0.5273
GRU-ew4,0.7214,0.5677,0.7149,0.6612,0.5313
DNN-ew4,0.5078,1.0065,0.6878,0.5803,0.6842
LSTM-ew4,0.598,0.5552,0.6531,0.6664,0.6511
