,0,1,2,3,4,5,6,7,8,9
CNN-obs,-0.2212,-0.2846,-0.1419,-0.1435,-0.238,-0.2123,-0.2079,-0.2171,-0.2294,-0.1591
RNN-obs,-0.2893,-0.0699,-0.1406,-0.0067,-0.1393,-0.1195,-0.1817,-0.0399,-0.0756,-0.1162
GRU-obs,-0.2296,-0.3035,-0.3296,-0.1851,-0.1242,-0.1696,-0.2024,-0.2116,-0.2035,-0.2028
DNN-obs,-0.0734,-0.1669,-1.4412,-0.0341,-0.0178,-0.1252,-0.0992,-0.1066,-0.1249,-0.2273
LSTM-obs,-0.1647,-0.1582,-0.1766,-0.0777,-0.1485,-0.1917,-0.1204,-0.1767,-0.0996,-0.2585
