,0,1,2,3,4,5,6,7,8,9
CNN-obs,0.8281,0.8494,0.8008,0.8014,0.8338,0.8251,0.8236,0.8268,0.8309,0.8068
RNN-obs,0.8509,0.7751,0.8003,0.7519,0.7999,0.7929,0.8146,0.7642,0.7772,0.7917
GRU-obs,0.831,0.8556,0.8641,0.8158,0.7946,0.8105,0.8217,0.8249,0.8221,0.8219
DNN-obs,0.7764,0.8095,1.1709,0.762,0.756,0.7949,0.7857,0.7883,0.7948,0.8302
LSTM-obs,0.8088,0.8065,0.8129,0.778,0.8031,0.8181,0.7932,0.8129,0.7858,0.8407
