,fc3_rmse_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_mean,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-obs,0.8227,0.0146,0.8494,0.8008,-0.2055,0.0428,-0.1419,-0.2846
RNN-obs,0.7919,0.0265,0.8509,0.7519,-0.1179,0.0755,-0.0067,-0.2893
GRU-obs,0.8262,0.0193,0.8641,0.7946,-0.2162,0.0573,-0.1242,-0.3296
DNN-obs,0.8269,0.1165,1.1709,0.756,-0.2417,0.404,-0.0178,-1.4412
LSTM-obs,0.806,0.0168,0.8407,0.778,-0.1573,0.0483,-0.0777,-0.2585
