,fc2_rmse_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_mean,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,0.8227,0.0146,0.8494,0.8008,-0.2055,0.0428,-0.1419,-0.2846
RNN-obs,0.7919,0.0265,0.8509,0.7519,-0.1179,0.0755,-0.0067,-0.2893
GRU-obs,0.8262,0.0193,0.8641,0.7946,-0.2162,0.0573,-0.1242,-0.3296
DNN-obs,0.8269,0.1165,1.1709,0.756,-0.2417,0.404,-0.0178,-1.4412
LSTM-obs,0.806,0.0168,0.8407,0.778,-0.1573,0.0483,-0.0777,-0.2585
CNN-sg5,0.8192,0.0285,0.8424,0.7561,-0.1964,0.081,-0.0179,-0.2635
RNN-sg5,0.8004,0.0367,0.8516,0.7389,-0.1431,0.1044,0.0277,-0.2913
GRU-sg5,0.818,0.0212,0.8535,0.7802,-0.1923,0.0615,-0.084,-0.297
DNN-sg5,0.7932,0.0293,0.8403,0.7457,-0.1219,0.0827,0.0098,-0.2573
LSTM-sg5,0.8118,0.0089,0.8252,0.7975,-0.1737,0.0258,-0.1324,-0.2126
CNN-sg7,0.8039,0.0278,0.8307,0.748,-0.1522,0.0786,0.0038,-0.2287
RNN-sg7,0.7865,0.0293,0.8342,0.7495,-0.103,0.0824,-0.0003,-0.2391
GRU-sg7,0.8243,0.0115,0.8377,0.8037,-0.2102,0.0337,-0.1502,-0.2495
DNN-sg7,0.8083,0.0373,0.8872,0.7582,-0.166,0.1088,-0.0236,-0.4017
LSTM-sg7,0.8115,0.0161,0.835,0.7817,-0.1729,0.0462,-0.088,-0.2415
CNN-sg9,0.811,0.0325,0.8407,0.74,-0.173,0.0913,0.025,-0.2584
RNN-sg9,0.79,0.0213,0.8313,0.7549,-0.112,0.0601,-0.0147,-0.2307
GRU-sg9,0.8127,0.0189,0.845,0.7802,-0.1769,0.0547,-0.0838,-0.2716
DNN-sg9,0.843,0.1173,1.1811,0.7489,-0.2901,0.4085,0.0013,-1.484
LSTM-sg9,0.8215,0.0165,0.8469,0.7928,-0.2023,0.0481,-0.1191,-0.2771
CNN-ew2,0.8263,0.0227,0.8445,0.7614,-0.2168,0.0647,-0.0323,-0.2701
RNN-ew2,0.7958,0.029,0.8611,0.7598,-0.1292,0.0834,-0.028,-0.3203
GRU-ew2,0.817,0.0211,0.8422,0.7808,-0.1893,0.061,-0.0857,-0.263
DNN-ew2,0.8115,0.0556,0.9344,0.7378,-0.1782,0.1663,0.0306,-0.5546
LSTM-ew2,0.8102,0.0156,0.8343,0.7837,-0.1695,0.0451,-0.0937,-0.2395
CNN-ew3,0.8219,0.0266,0.8596,0.7514,-0.2042,0.0758,-0.0054,-0.3157
RNN-ew3,0.777,0.0174,0.797,0.7405,-0.0755,0.0477,0.0236,-0.131
GRU-ew3,0.8172,0.0261,0.8699,0.7859,-0.1905,0.0767,-0.1,-0.3476
DNN-ew3,0.8047,0.0339,0.8534,0.7458,-0.1553,0.0967,0.0095,-0.297
LSTM-ew3,0.8159,0.008,0.8311,0.8043,-0.1854,0.0235,-0.1518,-0.2301
CNN-ew4,0.8753,0.1621,1.3584,0.7668,-0.4113,0.6272,-0.0471,-2.286
RNN-ew4,0.7774,0.0169,0.8056,0.7497,-0.0768,0.0467,-0.0008,-0.1558
GRU-ew4,0.8194,0.0167,0.8473,0.78,-0.1961,0.0485,-0.0833,-0.2784
DNN-ew4,0.8128,0.0293,0.8626,0.764,-0.178,0.0848,-0.0393,-0.3249
LSTM-ew4,0.8158,0.0123,0.8406,0.7986,-0.1854,0.0358,-0.1355,-0.2584
CNN-or,0.8386,0.0506,0.9735,0.7716,-0.2567,0.1587,-0.0601,-0.6875
RNN-or,0.7956,0.0294,0.8446,0.7608,-0.1287,0.0839,-0.0307,-0.2704
GRU-or,0.8173,0.0114,0.8371,0.7968,-0.1896,0.033,-0.1305,-0.2477
DNN-or,0.8314,0.1372,1.2357,0.7575,-0.2645,0.4904,-0.0217,-1.7189
LSTM-or,0.8106,0.0082,0.8256,0.7973,-0.1703,0.0237,-0.132,-0.2138
