,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,40453.11979,53886.30428,40451.16218,59853.40045,61354.3502
Exp2,33662.45925,45570.36181,96890.52783,1659.70657,38160.85102
Exp3,12418.57138,16499.55307,16352.85505,16743.30038,16402.50376
Exp4,12469.83434,16558.40679,16403.55942,16526.99705,16744.6639
Exp5,5457.18632,7703.24427,3501.1891,15081.849,4526.69473
Exp6,11283.2311,15096.15627,12948.0439,12281.3452,20059.0797
Exp7,5442.23476,7724.07201,13507.91843,609.02369,9055.27392
Exp8,15238.35171,20448.94689,20207.28388,12924.32102,28215.23575
Exp9,17297.48173,24095.67577,23517.18588,25501.91381,23267.92761
Exp10,18443.43637,24612.43189,22160.19541,19048.00803,32629.09222
