,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.88877,0.83499,2.37124,3.40631,1.58208,4.47183
TestRMSE,3.11446,0.96409,2.51691,3.71201,1.5427,4.76193
Step1,1.59615,0.64771,1.19469,1.9976,0.87997,3.09491
Step2,1.80307,0.79468,1.31052,2.29561,0.90053,3.38746
Step3,1.8725,0.52278,1.54848,2.19652,0.8914,2.45444
