,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.02481,0.00041,0.02456,0.02506,0.02423,0.02536
TestMSE,0.14768,0.00221,0.14631,0.14905,0.14304,0.15107
Step1,0.14768,0.00221,0.14631,0.14905,0.14304,0.15107
Step2,0.3895,0.00324,0.3875,0.39151,0.38264,0.39465
Step3,0.64979,0.00293,0.64797,0.6516,0.64444,0.65393
