,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
LSTM-3-obs,0.263,0.8767,0.0426,5.0528,1.015,1.25e-05,0.0029,0.2671,0.2605,0.0028,0.8791,0.8728,0.0005,0.043,0.0419,0.1005,5.1503,4.9144,0.0175,1.0322,0.9909
LSTM-3-sg5,0.2433,0.8944,0.0392,2.307,1.0162,3.125e-06,0.0075,0.2537,0.2366,0.0066,0.9002,0.8852,0.0009,0.0405,0.0385,0.1026,2.4052,2.1653,0.0456,1.0796,0.9744
LSTM-3-sg7,0.2329,0.9032,0.0373,1.3922,1.0147,1.25e-05,0.0074,0.2402,0.2227,0.0061,0.9116,0.8972,0.0002,0.0377,0.0371,0.024,1.4158,1.3593,0.0196,1.0394,0.9914
LSTM-3-sg9,0.2215,0.9126,0.0391,1.2124,1.1485,1.25e-05,0.0019,0.2241,0.2196,0.0015,0.9141,0.9105,0.0004,0.0395,0.0386,0.0744,1.282,1.1094,0.0366,1.1915,1.1019
LSTM-3-ew2,0.2492,0.8892,0.0403,3.0945,0.9525,6.25e-06,0.0079,0.26,0.2416,0.007,0.8959,0.8796,0.0008,0.0411,0.0392,0.09,3.2074,2.9872,0.0077,0.9587,0.9417
LSTM-3-ew3,0.2457,0.8924,0.0397,2.2678,0.9799,2.5e-05,0.0024,0.2484,0.2425,0.0021,0.8952,0.89,0.0007,0.0404,0.0387,0.0402,2.3096,2.2136,0.0282,1.0025,0.9401
LSTM-3-ew4,0.241,0.8964,0.04,1.9584,1.0406,1.25e-05,0.0044,0.2453,0.2349,0.0038,0.9017,0.8927,0.0001,0.0402,0.0399,0.1013,2.098,1.8609,0.0248,1.0744,1.0158
LSTM-3-or,0.2345,0.902,0.0387,4.4535,1.0266,2.5e-05,0.002,0.237,0.232,0.0018,0.9041,0.8998,0.0004,0.0389,0.0382,0.1381,4.6324,4.2961,0.0201,1.0531,1.0043
