,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,1.91399,1.974,1.02053,1.38065,0.97417
Exp2,1.96228,1.82658,0.5662,1.31043,1.13955
Exp3,2.2425,1.95706,1.02264,1.34283,0.9905
Exp4,2.42163,2.14443,0.96848,0.74709,1.76139
Exp5,2.07458,1.7357,1.06554,0.89303,1.03912
Exp6,2.07757,1.96392,0.69875,1.05241,1.50372
Exp7,1.79172,1.67098,0.9992,0.95427,0.93976
Exp8,1.70146,1.79203,1.17178,1.08146,0.81777
Exp9,1.98422,1.74007,1.17684,0.95184,0.85842
Exp10,1.8729,1.75425,0.7373,1.21511,1.02824
