Datetime,SG-9
2021-12-23 00:00:00,0.22265572676767667
2021-12-23 01:00:00,0.19731411363636356
2021-12-23 02:00:00,0.18389326854256846
2021-12-23 03:00:00,0.1823931914862914
2021-12-23 04:00:00,0.19281388246753217
2021-12-23 05:00:00,0.10775790165945144
2021-12-23 06:00:00,0.2534462186147182
2021-12-23 07:00:00,0.5078667196248189
2021-12-23 08:00:00,0.7214005822510813
2021-12-23 09:00:00,0.8370503523809513
2021-12-23 10:00:00,0.8422322559163049
2021-12-23 11:00:00,0.7324233838383829
2021-12-23 12:00:00,0.5023261202020195
2021-12-23 13:00:00,0.22429498636363593
2021-12-23 14:00:00,0.19807082034632
2021-12-23 15:00:00,0.24260933073593033
2021-12-23 16:00:00,0.2769824632756128
2021-12-23 17:00:00,0.2966336598845595
2021-12-23 18:00:00,0.30266410064935023
2021-12-23 19:00:00,0.2933463337662333
2021-12-23 20:00:00,0.27010284083694047
2021-12-23 21:00:00,0.24733450995670958
2021-12-23 22:00:00,0.22708010829725797
2021-12-23 23:00:00,0.21106537222222185
2021-12-24 00:00:00,0.210347774314574
2021-12-24 01:00:00,0.2267053754689751
2021-12-24 02:00:00,0.2401264851370848
2021-12-24 03:00:00,0.24923553542568505
2021-12-24 04:00:00,0.2534010155122651
2021-12-24 05:00:00,0.2516768911255407
2021-12-24 06:00:00,0.24314025793650756
2021-12-24 07:00:00,0.22923510663780627
2021-12-24 08:00:00,0.22431725497835464
2021-12-24 09:00:00,0.22657861341991306
2021-12-24 10:00:00,0.23358174790764755
2021-12-24 11:00:00,0.2562298474747471
2021-12-24 12:00:00,0.2742348813131309
2021-12-24 13:00:00,0.28352680252525214
2021-12-24 14:00:00,0.2833562675324671
2021-12-24 15:00:00,0.2741053917027413
2021-12-24 16:00:00,0.25577718051948006
2021-12-24 17:00:00,0.2320542774891771
2021-12-24 18:00:00,0.21939115685425647
2021-12-24 19:00:00,0.22142470151515115
2021-12-24 20:00:00,0.2197398161616158
2021-12-24 21:00:00,0.21844766089466053
2021-12-24 22:00:00,0.21763548470418437
2021-12-24 23:00:00,0.21702757251082216
2021-12-25 00:00:00,0.21642071046176015
2021-12-25 01:00:00,0.21640559199134163
2021-12-25 02:00:00,0.2167761412698409
2021-12-25 03:00:00,0.21798831017315984
2021-12-25 04:00:00,0.21931141132756102
2021-12-25 05:00:00,0.2206932079365076
2021-12-25 06:00:00,0.22230008419913388
2021-12-25 07:00:00,0.2241416416305913
2021-12-25 08:00:00,0.2255367001442998
2021-12-25 09:00:00,0.22668818888888853
2021-12-25 10:00:00,0.22760160230880194
2021-12-25 11:00:00,0.22949832150072114
2021-12-25 12:00:00,0.23582969329004294
2021-12-25 13:00:00,0.24201695230880194
2021-12-25 14:00:00,0.24442584321789285
2021-12-25 15:00:00,0.24272104740259703
2021-12-25 16:00:00,0.2366230050505047
2021-12-25 17:00:00,0.22745628145743113
2021-12-25 18:00:00,0.21739439004328975
2021-12-25 19:00:00,0.20726159105339076
2021-12-25 20:00:00,0.20443855064935035
2021-12-25 21:00:00,0.19697766356421326
2021-12-25 22:00:00,0.16994557236652208
2021-12-25 23:00:00,0.2764500397546893
2021-12-26 00:00:00,0.436479657647907
2021-12-26 01:00:00,0.5500234968975461
2021-12-26 02:00:00,0.600620201803751
2021-12-26 03:00:00,0.5815607755411247
2021-12-26 04:00:00,0.4974152735930729
2021-12-26 05:00:00,0.35689883275613227
2021-12-26 06:00:00,0.20587888427128398
2021-12-26 07:00:00,0.19217834855699828
2021-12-26 08:00:00,0.20715830548340514
2021-12-26 09:00:00,0.22312572243867207
2021-12-26 10:00:00,0.251218697330447
2021-12-26 11:00:00,0.2842700833333329
2021-12-26 12:00:00,0.30935769047619005
2021-12-26 13:00:00,0.3138457647907643
2021-12-26 14:00:00,0.290059317460317
2021-12-26 15:00:00,0.2968957889610385
2021-12-26 16:00:00,0.3651443027417022
2021-12-26 17:00:00,0.5253571782828276
2021-12-26 18:00:00,0.6963000222222213
2021-12-26 19:00:00,0.7958375442279932
2021-12-26 20:00:00,0.7894029928571418
2021-12-26 21:00:00,0.6735558227994218
2021-12-26 22:00:00,0.47992627128427057
2021-12-26 23:00:00,0.2935829777056272
2021-12-27 00:00:00,0.15276177373737343
2021-12-27 01:00:00,0.17035064018758983
2021-12-27 02:00:00,0.29951623932178884
2021-12-27 03:00:00,0.40747036652236596
2021-12-27 04:00:00,0.46769166911976845
2021-12-27 05:00:00,0.4769568040404034
2021-12-27 06:00:00,0.4321023828282823
2021-12-27 07:00:00,0.32572629711399664
2021-12-27 08:00:00,0.1766253585137082
2021-12-27 09:00:00,0.1315253341991339
2021-12-27 10:00:00,0.23392592705627666
2021-12-27 11:00:00,0.41120650367965306
2021-12-27 12:00:00,0.6054190739538231
2021-12-27 13:00:00,0.7392207043290033
2021-12-27 14:00:00,0.7820554567821059
2021-12-27 15:00:00,0.7550926775613266
2021-12-27 16:00:00,0.6923171999999991
2021-12-27 17:00:00,0.6663182655122646
2021-12-27 18:00:00,0.6923878773448764
2021-12-27 19:00:00,0.7306213951659442
2021-12-27 20:00:00,0.7093940915584406
2021-12-27 21:00:00,0.5974969283549776
2021-12-27 22:00:00,0.4297008390331884
2021-12-27 23:00:00,0.2768277089466085
2021-12-28 00:00:00,0.18500610122655092
2021-12-28 01:00:00,0.15960772070707047
2021-12-28 02:00:00,0.16003920584415557
2021-12-28 03:00:00,0.16695589595959567
2021-12-28 04:00:00,0.1674948642135639
2021-12-28 05:00:00,0.16665542445887416
2021-12-28 06:00:00,0.1503826246031743
