,0,1,2
CNN-sg7,0.8493,0.5879,0.8524
RNN-sg7,0.4781,0.4751,0.4839
GRU-sg7,0.4416,0.4399,0.4468
DNN-sg7,0.6009,0.5948,0.5989
LSTM-sg7,0.5241,0.525,0.4863
