,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-sg7,0.7632,-0.0648,0.124,0.8524,0.5879,0.3177,0.3845,-0.2942
RNN-sg7,0.479,0.5912,0.0037,0.4839,0.4751,0.0062,0.5979,0.5829
GRU-sg7,0.4428,0.6508,0.0029,0.4468,0.4399,0.0046,0.6552,0.6444
DNN-sg7,0.5982,0.3626,0.0025,0.6009,0.5948,0.0054,0.3698,0.3569
LSTM-sg7,0.5118,0.5329,0.018,0.525,0.4863,0.0325,0.5788,0.509
