,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-sg7,0.6541,0.147,0.1022,30.8923,10.5639,2.44140625e-08,0.2253,0.8149,0.3354,0.4614,0.7995,-0.1836,0.0319,0.1251,0.0571,15.9277,42.2527,8.3674,5.2346,14.3604,3.1618
RNN-sg7,0.2232,0.9112,0.0423,3.0593,1.5266,3.90625e-07,0.0046,0.2266,0.2166,0.0037,0.9164,0.9085,0.0012,0.0435,0.0406,0.4896,3.407,2.367,0.1345,1.6334,1.3369
GRU-sg7,0.2274,0.9078,0.0375,1.9129,1.2168,3.125e-06,0.0038,0.2308,0.2221,0.0031,0.9121,0.9051,0.0005,0.0381,0.037,0.0683,2.0089,1.8562,0.0228,1.2403,1.186
DNN-sg7,0.3465,0.7861,0.0566,8.3208,3.2443,1.953125e-07,0.0021,0.3492,0.344,0.0026,0.7891,0.7827,0.0004,0.057,0.0561,0.0537,8.3945,8.2681,0.0157,3.2631,3.2248
LSTM-sg7,0.2562,0.8826,0.0404,1.6126,1.2216,1.5625e-06,0.0158,0.2785,0.2433,0.0147,0.8945,0.8618,0.0005,0.0409,0.0398,0.0429,1.6733,1.5819,0.0101,1.2357,1.213
