,fc3_rmse_mean,fc3_r2_mean,fc3_rmse_std,fc3_rmse_max,fc3_rmse_min,fc3_r2_std,fc3_r2_max,fc3_r2_min
CNN-sg7,0.8444,-0.2752,0.0568,0.8862,0.764,0.1668,-0.0394,-0.3984
RNN-sg7,0.7581,-0.0249,0.0303,0.7952,0.7209,0.0819,0.0745,-0.126
GRU-sg7,0.7458,0.0093,0.0116,0.76,0.7317,0.0307,0.0466,-0.0286
DNN-sg7,0.774,-0.0669,0.0035,0.7773,0.7692,0.0096,-0.0536,-0.0759
LSTM-sg7,0.9947,-0.7636,0.0332,1.0221,0.948,0.1162,-0.6002,-0.8603
