,0,1,2
CNN-sg7,4.8828125e-08,9.765625e-08,2.44140625e-08
RNN-sg7,1.25e-05,1.953125e-07,3.90625e-07
GRU-sg7,3.125e-06,3.125e-06,3.125e-06
DNN-sg7,3.90625e-07,1.5625e-06,1.953125e-07
LSTM-sg7,7.8125e-07,3.90625e-07,1.5625e-06
