,TrainRMSE,TestRMSE,Step1,Step2,Step3
Exp1,2.03929,1.94606,0.85497,0.8997,1.4989
Exp2,2.01375,1.80051,0.73787,0.82278,1.42142
Exp3,2.10055,2.5594,0.78777,0.79781,2.30075
Exp4,1.7454,1.61333,0.78987,1.07856,0.90313
Exp5,2.63026,2.23982,1.65972,0.9329,1.17975
Exp6,2.42077,2.101,0.83149,1.6768,0.95454
Exp7,2.22491,2.03289,1.6418,0.77602,0.91374
Exp8,1.60566,1.87642,0.89059,1.1698,1.16592
Exp9,2.88659,2.64273,2.14381,1.37818,0.69907
Exp10,2.04951,1.88809,0.91953,1.35198,0.9442
