,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
0,8.3366,0.7839,0.1935,8.6071,8.1652,0.0101,0.7928,0.7698
0,8.7535,0.7619,0.0856,8.8418,8.6376,0.0047,0.7682,0.7571
0,7.7906,0.8111,0.3406,8.2587,7.4581,0.0167,0.8272,0.7881
0,7.0518,0.8451,0.3679,7.3211,6.5316,0.0158,0.8674,0.8335
0,8.4817,0.7763,0.2252,8.8,8.3121,0.012,0.7853,0.7594
0,8.0646,0.7978,0.174,8.2376,7.8265,0.0087,0.8097,0.7892
0,7.7848,0.8117,0.1022,7.914,7.664,0.0049,0.8175,0.8054
