,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,2.04468,80.88768,80.88768,100.93626,145.45681
Exp2,2.05148,77.34692,77.34692,97.97666,142.59097
Exp3,2.06973,79.45044,79.45044,99.66728,144.59652
Exp4,2.11572,75.72585,75.72585,97.60659,143.74926
Exp5,2.07764,77.91932,77.91932,98.86713,143.45595
Exp6,2.02476,79.66195,79.66195,101.19962,147.15547
Exp7,2.09425,77.56456,77.56456,97.97264,142.53413
Exp8,2.09083,76.71943,76.71943,97.25466,141.45883
Exp9,2.09249,80.84845,80.84845,101.41246,147.38045
Exp10,2.06978,79.588,79.588,99.7364,144.29865
