,Dataset,Method,Train-MSE-Mean,Train-MSE-Std,Train-CI-LB,Train-CI-UB,TrainMSE-Min,Test-MSE-Mean,Test-MSE-Std,Test-CI-LB,Test-CI-UB,Test-MSE-Min,Step1-MSE-Mean,Step1-MSE-Std,Step1-CI-LB,Step1-CI-UB,Step1-MSE-Min,Step2-MSE-Mean,Step2-MSE-Std,Step2-CI-LB,Step2-CI-UB,Step2-MSE-Min,Step3-MSE-Mean,Step3-MSE-Std,Step3-CI-LB,Step3-CI-UB,Step3-MSE-Min
0,obs,RF,0.0235,0.0006,0.0232,0.0238,0.0227,0.1166,0.0024,0.1151,0.1181,0.1136,0.1166,0.0024,0.1151,0.1181,0.1136,0.2566,0.0033,0.2546,0.2587,0.2534,0.414,0.0032,0.412,0.416,0.4091
1,obs,DNN,2.9261,3.3573,0.8452,5.0069,0.7749,1.8925,1.9622,0.6763,3.1087,0.6258,1.9179,1.9222,0.7265,3.1093,0.5044,1.6101,1.4179,0.7312,2.4889,0.518,2.1494,2.7235,0.4613,3.8374,0.6755
2,sg5,RF,0.0199,0.0005,0.0196,0.0202,0.0193,0.127,0.0017,0.126,0.1281,0.1245,0.127,0.0017,0.126,0.1281,0.1245,0.2769,0.0018,0.2758,0.278,0.2747,0.434,0.0022,0.4327,0.4354,0.4302
3,sg5,DNN,3.8818,2.4202,2.3818,5.3819,1.1784,2.6261,1.6456,1.6062,3.646,0.704,2.2027,1.9894,0.9696,3.4357,0.4979,3.2875,2.72,1.6016,4.9734,0.5125,2.3882,1.5811,1.4082,3.3682,0.8316
4,sg7,RF,0.0152,0.0005,0.015,0.0155,0.0147,0.1413,0.002,0.1401,0.1426,0.138,0.1413,0.002,0.1401,0.1426,0.138,0.2795,0.0027,0.2778,0.2812,0.2753,0.4136,0.0031,0.4117,0.4155,0.4079
5,sg7,DNN,2.3481,0.7504,1.883,2.8132,1.1272,1.6417,0.5557,1.2972,1.9862,0.9371,2.4728,0.6004,2.1007,2.845,1.6119,1.0309,0.5924,0.6637,1.3981,0.5402,1.4214,1.0673,0.7599,2.0829,0.5086
6,sg9,RF,0.0116,0.0002,0.0115,0.0117,0.0113,0.1192,0.0027,0.1175,0.1208,0.113,0.1192,0.0027,0.1175,0.1208,0.113,0.2519,0.0028,0.2502,0.2537,0.2468,0.3983,0.0028,0.3965,0.4001,0.3938
7,sg9,DNN,2.2749,0.8077,1.7743,2.7755,1.0853,1.5814,0.5344,1.2501,1.9126,0.651,1.54,0.9912,0.9256,2.1543,0.4974,1.9847,0.6054,1.6095,2.3599,0.7455,1.2194,0.5721,0.8648,1.574,0.554
8,ew2,RF,0.0181,0.0004,0.0179,0.0184,0.0175,0.1288,0.0019,0.1276,0.1299,0.125,0.1288,0.0019,0.1276,0.1299,0.125,0.2725,0.0016,0.2715,0.2734,0.2694,0.4199,0.0029,0.4181,0.4218,0.4171
9,ew2,DNN,1.6666,0.4433,1.3919,1.9414,0.7897,1.2292,0.2712,1.0612,1.3973,0.6733,0.9204,0.3606,0.6969,1.1439,0.4969,1.3658,0.6625,0.9552,1.7764,0.6988,1.4016,0.7894,0.9123,1.8909,0.4973
10,ew3,RF,0.0132,0.0004,0.0129,0.0134,0.0125,0.1309,0.003,0.129,0.1328,0.1253,0.1309,0.003,0.129,0.1328,0.1253,0.2715,0.0021,0.2702,0.2728,0.2684,0.4098,0.0018,0.4087,0.4109,0.4066
11,ew3,DNN,2.4702,1.1396,1.7639,3.1766,1.1702,1.7722,0.8309,1.2572,2.2871,0.8079,1.2205,0.7051,0.7834,1.6575,0.6534,1.5827,1.1612,0.8629,2.3024,0.5582,2.5133,1.7411,1.4342,3.5925,0.5094
12,ew4,RF,0.0108,0.0002,0.0107,0.011,0.0104,0.1457,0.0022,0.1444,0.1471,0.1423,0.1457,0.0022,0.1444,0.1471,0.1423,0.3052,0.0016,0.3042,0.3062,0.3029,0.4495,0.0026,0.4479,0.4512,0.4435
13,ew4,DNN,2.1894,0.6109,1.8107,2.568,1.27,1.5703,0.4813,1.272,1.8686,1.0069,1.6398,0.829,1.126,2.1536,0.7349,1.2388,0.7335,0.7842,1.6934,0.5072,1.8322,1.3469,0.9974,2.667,0.5311
14,or,RF,0.025,0.0005,0.0247,0.0254,0.0238,0.131,0.0038,0.1287,0.1334,0.1246,0.131,0.0038,0.1287,0.1334,0.1246,0.2949,0.0062,0.2911,0.2988,0.2832,0.4806,0.0074,0.4761,0.4852,0.4678
15,or,DNN,2.7283,1.657,1.7013,3.7553,1.4076,1.7317,0.9033,1.1718,2.2915,0.9539,2.0102,1.8782,0.8461,3.1743,0.5694,1.2701,0.8514,0.7424,1.7978,0.4883,1.9147,1.4621,1.0085,2.8209,0.7694
