,TrainMSE,TestMSE,Step1,Step2,Step3
Exp1,1.52176,1.98139,3.24072,1.55122,1.15224
Exp2,1.15445,1.48234,0.80615,1.1197,2.52115
Exp3,1.79037,2.19109,0.97546,0.87388,4.72395
Exp4,1.88105,2.4591,2.09221,2.28081,3.0043
Exp5,1.57546,2.34992,2.03985,2.69091,2.319
Exp6,1.13253,1.40981,0.7924,1.51843,1.9186
Exp7,2.65301,3.35425,1.93549,4.19275,3.93451
Exp8,6.60863,8.1247,1.07523,6.35411,16.94476
Exp9,1.34104,1.58956,1.32937,2.2728,1.16651
Exp10,1.79382,2.19322,1.09575,3.73937,1.74453
