,fc2_rmse_mean,fc2_r2_mean,fc2_rmse_std,fc2_rmse_max,fc2_rmse_min,fc2_r2_std,fc2_r2_max,fc2_r2_min
CNN-obs,14.754,0.268,4.2331,17.7481,8.7675,0.3487,0.7612,0.0213
RNN-obs,8.4346,0.7788,0.1915,8.7016,8.2618,0.0101,0.7879,0.7647
GRU-obs,8.1401,0.7941,0.0745,8.2092,8.0367,0.0037,0.7993,0.7906
DNN-obs,8.8077,0.7588,0.1907,8.9427,8.5381,0.0104,0.7735,0.7515
LSTM-obs,8.4577,0.7777,0.0391,8.5124,8.4237,0.002,0.7795,0.7749
CNN-sg5,11.3666,0.5373,4.4397,17.6453,8.2237,0.3569,0.7899,0.0326
RNN-sg5,8.0354,0.7993,0.1496,8.2207,7.8544,0.0075,0.8083,0.79
GRU-sg5,7.5265,0.824,0.1042,7.6732,7.4409,0.0049,0.828,0.8171
DNN-sg5,8.3165,0.785,0.1649,8.5459,8.1655,0.0085,0.7928,0.7731
LSTM-sg5,7.8765,0.8072,0.0319,7.9193,7.8428,0.0016,0.8089,0.8051
CNN-sg7,14.5116,0.284,4.4547,17.6667,8.2117,0.3581,0.7905,0.0302
RNN-sg7,7.526,0.824,0.125,7.6869,7.382,0.0059,0.8307,0.8164
GRU-sg7,7.5189,0.8243,0.1614,7.7436,7.3716,0.0076,0.8312,0.8137
DNN-sg7,8.4423,0.7786,0.0282,8.4822,8.4206,0.0015,0.7797,0.7765
LSTM-sg7,7.3767,0.8309,0.1593,7.5163,7.1538,0.0072,0.841,0.8245
CNN-sg9,11.3105,0.5395,4.5041,17.6803,8.1168,0.3612,0.7953,0.0287
RNN-sg9,7.3246,0.8332,0.1552,7.511,7.131,0.0071,0.842,0.8247
GRU-sg9,7.1278,0.8421,0.1729,7.2661,6.8841,0.0076,0.8528,0.836
DNN-sg9,8.5324,0.7735,0.307,8.8301,8.1099,0.0161,0.7956,0.7577
LSTM-sg9,7.0475,0.8457,0.0174,7.0657,7.0241,0.0007,0.8467,0.8449
CNN-ew2,14.5855,0.2804,4.3442,17.66,8.4418,0.3523,0.7786,0.031
RNN-ew2,8.1757,0.7922,0.1876,8.3483,7.9149,0.0095,0.8054,0.7835
GRU-ew2,7.6414,0.8185,0.1051,7.7288,7.4935,0.005,0.8255,0.8144
DNN-ew2,8.662,0.766,0.5465,9.4304,8.2059,0.03,0.7908,0.7237
LSTM-ew2,7.9051,0.8058,0.1602,8.0972,7.7051,0.0078,0.8155,0.7963
CNN-ew3,14.5273,0.2843,4.3947,17.6382,8.3123,0.3543,0.7853,0.0334
RNN-ew3,7.8283,0.8095,0.1615,8.0329,7.6382,0.0079,0.8187,0.7995
GRU-ew3,7.4989,0.8252,0.1694,7.6994,7.2851,0.0079,0.8351,0.8158
DNN-ew3,8.3497,0.7834,0.0347,8.3986,8.3218,0.0018,0.7848,0.7808
LSTM-ew3,7.2874,0.8349,0.1758,7.4473,7.0425,0.0079,0.8459,0.8277
CNN-ew4,11.3602,0.5383,4.4217,17.6132,8.1874,0.3551,0.7917,0.0361
RNN-ew4,7.6499,0.8181,0.0706,7.7325,7.56,0.0034,0.8224,0.8142
GRU-ew4,7.2694,0.8358,0.1056,7.3959,7.1375,0.0048,0.8417,0.83
DNN-ew4,8.2754,0.7871,0.2046,8.5485,8.056,0.0106,0.7984,0.7729
LSTM-ew4,7.13,0.842,0.0611,7.2154,7.0762,0.0027,0.8444,0.8382
