,fc1_rmse_mean,fc1_r2_mean,test_loss_mean,train_loss_mean,valid_loss_mean,last_epoch,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_std,test_loss_max,test_loss_min,train_loss_std,train_loss_max,train_loss_min,valid_loss_std,valid_loss_max,valid_loss_min
CNN-obs,13.3371,0.364,0.0817,29.2949,9.9805,1.5625e-06,5.4554,17.1955,5.6219,0.3813,0.9032,0.0943,0.0447,0.1133,0.0185,14.7343,39.7702,8.4576,5.9548,14.1921,1.5592
RNN-obs,5.0987,0.9203,0.0159,7.6228,1.0292,1.25e-05,0.0686,5.1922,5.0298,0.0022,0.9225,0.9174,0.0002,0.0162,0.0158,0.1126,7.7264,7.4663,0.0285,1.0695,1.0088
GRU-obs,4.923,0.9257,0.0149,7.3942,0.9733,5e-05,0.0178,4.9439,4.9003,0.0005,0.9264,0.9251,0.0002,0.0152,0.0148,0.0424,7.4473,7.3435,0.0236,0.9962,0.9408
DNN-obs,5.2096,0.9169,0.0189,8.7216,1.5271,3.125e-06,0.0598,5.2933,5.1575,0.0019,0.9185,0.9142,0.0002,0.0191,0.0187,0.1017,8.8396,8.5913,0.0221,1.5548,1.5008
LSTM-obs,5.079,0.921,0.0152,7.2787,0.971,6.25e-06,0.0564,5.1509,5.0131,0.0018,0.923,0.9187,0.0001,0.0153,0.0151,0.0604,7.3641,7.2336,0.0192,0.9973,0.952
CNN-sg5,8.9804,0.6522,0.0501,18.7559,5.9,6.25e-06,5.7369,17.0935,4.9216,0.3869,0.9258,0.105,0.0454,0.1143,0.018,17.7165,43.8106,6.157,6.2376,14.7213,1.4852
RNN-sg5,4.6868,0.9327,0.0163,3.8777,0.8963,3.125e-06,0.0431,4.7428,4.6379,0.0012,0.9341,0.9311,0.0003,0.0166,0.0158,0.1294,3.972,3.6947,0.0244,0.9302,0.8734
GRU-sg5,4.5682,0.9361,0.0158,3.5714,0.7687,1.25e-05,0.0762,4.6696,4.4858,0.0022,0.9384,0.9332,0.0004,0.0164,0.0155,0.1136,3.699,3.423,0.0132,0.7845,0.7522
DNN-sg5,4.9711,0.9243,0.0183,6.3685,1.4998,3.125e-06,0.0371,5.0229,4.9375,0.0011,0.9253,0.9227,0.0003,0.0187,0.018,0.0271,6.4067,6.3474,0.0029,1.5029,1.4958
LSTM-sg5,4.7072,0.9321,0.0159,3.3376,0.8231,6.25e-06,0.0551,4.7693,4.6353,0.0016,0.9342,0.9303,0.0006,0.0167,0.0154,0.1068,3.4877,3.2479,0.007,0.8329,0.817
CNN-sg7,13.0524,0.3773,0.082,32.0507,10.0073,1.953125e-07,5.7376,17.1145,4.9382,0.3875,0.9253,0.1028,0.0453,0.1141,0.018,18.9947,45.5977,5.1885,6.0355,14.2925,1.4718
RNN-sg7,4.4297,0.9399,0.0159,2.4952,0.816,1.5625e-06,0.0332,4.4751,4.3967,0.0009,0.9408,0.9387,0.0005,0.0166,0.0153,0.0501,2.5598,2.4377,0.0316,0.8472,0.7727
GRU-sg7,4.5579,0.9364,0.0164,1.9366,0.7463,1.25e-05,0.0349,4.6006,4.5152,0.001,0.9376,0.9352,0.001,0.0178,0.0156,0.0944,2.0678,1.8498,0.0172,0.7612,0.7222
DNN-sg7,4.9894,0.9238,0.0181,5.1713,1.463,3.125e-06,0.0116,5.0024,4.9743,0.0003,0.9242,0.9234,0.0001,0.0182,0.0179,0.0373,5.1984,5.1186,0.0197,1.4861,1.438
LSTM-sg7,4.5162,0.9375,0.0154,1.8177,0.7633,6.25e-06,0.1019,4.6602,4.4375,0.0028,0.9397,0.9335,0.0007,0.0164,0.0148,0.0054,1.8252,1.8134,0.0111,0.776,0.749
CNN-sg9,8.9446,0.6524,0.0498,18.6885,5.7739,6.25e-06,5.7866,17.1281,4.8486,0.3896,0.928,0.1014,0.0452,0.1138,0.0179,19.7986,46.6879,4.6432,6.0695,14.3574,1.4742
RNN-sg9,4.331,0.9425,0.0151,2.0959,0.8345,1.25e-05,0.0669,4.4233,4.267,0.0018,0.9442,0.9401,0.0002,0.0154,0.0148,0.0351,2.1436,2.0602,0.0112,0.8448,0.8188
