Datetime,Colour
2021-12-23 00:00:00,95.5
2021-12-23 01:00:00,95.3
2021-12-23 02:00:00,93.18
2021-12-23 03:00:00,91.708
2021-12-23 04:00:00,90.4248
2021-12-23 05:00:00,88.85488000000001
2021-12-23 06:00:00,88.312928
2021-12-23 07:00:00,89.1877568
2021-12-23 08:00:00,90.71265408
2021-12-23 09:00:00,95.42759244799998
2021-12-23 10:00:00,101.8565554688
2021-12-23 11:00:00,106.91393328128001
2021-12-23 12:00:00,111.34835996876801
2021-12-23 13:00:00,114.8090159812608
2021-12-23 14:00:00,117.48540958875648
2021-12-23 15:00:00,118.49124575325389
2021-12-23 16:00:00,118.89474745195233
2021-12-23 17:00:00,120.13684847117139
2021-12-23 18:00:00,121.88210908270284
2021-12-23 19:00:00,123.3292654496217
2021-12-23 20:00:00,124.59755926977303
2021-12-23 21:00:00,125.5585355618638
2021-12-23 22:00:00,124.53512133711828
2021-12-23 23:00:00,122.92107280227097
2021-12-24 00:00:00,120.95264368136259
2021-12-24 01:00:00,118.37158620881755
2021-12-24 02:00:00,116.02295172529053
2021-12-24 03:00:00,106.61377103517431
2021-12-24 04:00:00,105.5682626211046
2021-12-24 05:00:00,104.94095757266275
2021-12-24 06:00:00,105.16457454359765
2021-12-24 07:00:00,105.89874472615858
2021-12-24 08:00:00,107.53924683569514
2021-12-24 09:00:00,111.92354810141708
2021-12-24 10:00:00,113.75412886085024
2021-12-24 11:00:00,115.25247731651014
2021-12-24 12:00:00,117.15148638990608
2021-12-24 13:00:00,116.89089183394364
2021-12-24 14:00:00,115.13453510036618
2021-12-24 15:00:00,114.48072106021971
2021-12-24 16:00:00,113.88843263613182
2021-12-24 17:00:00,112.7330595816791
2021-12-24 18:00:00,111.43983574900747
2021-12-24 19:00:00,110.86390144940448
2021-12-24 20:00:00,110.3183408696427
2021-12-24 21:00:00,109.79100452178562
2021-12-24 22:00:00,109.07460271307137
2021-12-24 23:00:00,108.24476162784282
2021-12-25 00:00:00,107.74685697670569
2021-12-25 01:00:00,106.6481141860234
2021-12-25 02:00:00,104.98886851161404
2021-12-25 03:00:00,103.79332110696842
2021-12-25 04:00:00,101.07599266418106
2021-12-25 05:00:00,99.84559559850864
2021-12-25 06:00:00,99.50735735910519
2021-12-25 07:00:00,100.10441441546311
2021-12-25 08:00:00,101.26264864927786
2021-12-25 09:00:00,104.15758918956672
2021-12-25 10:00:00,108.49455351374003
2021-12-25 11:00:00,112.09673210824401
2021-12-25 12:00:00,114.8580392649464
2021-12-25 13:00:00,116.31482355896784
2021-12-25 14:00:00,116.58889413538071
2021-12-25 15:00:00,117.15333648122842
2021-12-25 16:00:00,118.09200188873706
2021-12-25 17:00:00,119.45520113324224
2021-12-25 18:00:00,120.67312067994534
2021-12-25 19:00:00,121.8038724079672
2021-12-25 20:00:00,123.28232344478032
2021-12-25 21:00:00,123.76939406686819
2021-12-25 22:00:00,123.66163644012092
2021-12-25 23:00:00,122.99698186407255
2021-12-26 00:00:00,122.19818911844354
2021-12-26 01:00:00,121.11891347106612
2021-12-26 02:00:00,118.87134808263967
2021-12-26 03:00:00,115.1228088495838
2021-12-26 04:00:00,111.27368530975028
2021-12-26 05:00:00,108.56421118585016
2021-12-26 06:00:00,107.7385267115101
2021-12-26 07:00:00,107.04311602690606
2021-12-26 08:00:00,106.02586961614364
2021-12-26 09:00:00,107.81552176968619
2021-12-26 10:00:00,111.6893130618117
2021-12-26 11:00:00,115.01358783708702
2021-12-26 12:00:00,117.40815270225221
2021-12-26 13:00:00,119.44489162135132
2021-12-26 14:00:00,120.6669349728108
2021-12-26 15:00:00,121.60016098368648
2021-12-26 16:00:00,122.1600965902119
2021-12-26 17:00:00,122.49605795412714
2021-12-26 18:00:00,122.09763477247628
2021-12-26 19:00:00,121.25858086348576
2021-12-26 20:00:00,120.55514851809147
2021-12-26 21:00:00,118.53308911085489
2021-12-26 22:00:00,116.51985346651294
2021-12-26 23:00:00,113.91191207990776
2021-12-27 00:00:00,111.54714724794466
2021-12-27 01:00:00,109.1282883487668
2021-12-27 02:00:00,106.87697300926008
2021-12-27 03:00:00,104.52618380555606
2021-12-27 04:00:00,102.71571028333364
2021-12-27 05:00:00,101.82942617000018
2021-12-27 06:00:00,102.09765570200011
2021-12-27 07:00:00,100.25859342120006
2021-12-27 08:00:00,100.95515605272004
2021-12-27 09:00:00,101.57309363163202
2021-12-27 10:00:00,104.1438561789792
2021-12-27 11:00:00,106.68631370738753
2021-12-27 12:00:00,109.21178822443251
2021-12-27 13:00:00,111.3270729346595
2021-12-27 14:00:00,112.99624376079569
2021-12-27 15:00:00,113.79774625647741
2021-12-27 16:00:00,114.67864775388645
2021-12-27 17:00:00,115.60718865233187
2021-12-27 18:00:00,116.36431319139912
2021-12-27 19:00:00,116.41858791483946
2021-12-27 20:00:00,116.25115274890368
2021-12-27 21:00:00,116.7506916493422
2021-12-27 22:00:00,114.85041498960533
2021-12-27 23:00:00,112.91024899376319
2021-12-28 00:00:00,111.14614939625791
2021-12-28 01:00:00,108.88768963775475
2021-12-28 02:00:00,106.53261378265285
2021-12-28 03:00:00,104.71956826959172
2021-12-28 04:00:00,105.23174096175504
2021-12-28 05:00:00,106.53904457705303
2021-12-28 06:00:00,108.32342674623183
2021-12-28 07:00:00,107.9940560477391
2021-12-28 08:00:00,108.79643362864346
2021-12-28 09:00:00,110.07786017718607
2021-12-28 10:00:00,113.44671610631164
2021-12-28 11:00:00,116.668029663787
2021-12-28 12:00:00,119.2008177982722
2021-12-28 13:00:00,120.32049067896332
