,0,1,2,3,4,5,6,7,8,9
CNN-ew4,-0.2276,-0.223,-0.2149,-0.2259,-0.1996,-0.2363,-0.0471,-0.2192,-2.286,-0.233
RNN-ew4,-0.0096,-0.1125,-0.1133,-0.1558,-0.08,-0.0295,-0.0008,-0.0876,-0.0907,-0.0881
GRU-ew4,-0.1954,-0.1838,-0.1803,-0.2531,-0.0833,-0.2067,-0.1893,-0.1841,-0.207,-0.2784
DNN-ew4,-0.3249,-0.2091,-0.0393,-0.1729,-0.1299,-0.1159,-0.2135,-0.0796,-0.2058,-0.2887
LSTM-ew4,-0.1611,-0.1355,-0.2098,-0.178,-0.2148,-0.2584,-0.2137,-0.1644,-0.17,-0.1481
