,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,0.01988,0.00035,0.01966,0.02009,0.01928,0.02058
TestMSE,0.13429,0.00166,0.13326,0.13532,0.13188,0.13719
Step1,0.13429,0.00166,0.13326,0.13532,0.13188,0.13719
Step2,0.35171,0.00424,0.34908,0.35433,0.34594,0.35965
Step3,0.60692,0.00648,0.6029,0.61093,0.59719,0.61644
