,0,1,2
CNN-sg9,-0.505,-0.0719,-0.5191
RNN-sg9,-0.0251,-0.0093,0.0532
GRU-sg9,0.0957,0.0359,-0.1249
DNN-sg9,-0.0739,-0.0881,-0.082
LSTM-sg9,-0.2475,0.0483,0.0474
