,0,1,2
CNN-sg9,0.884,0.5921,0.8882
RNN-sg9,0.5264,0.5175,0.5133
GRU-sg9,0.4943,0.4974,0.5483
DNN-sg9,0.5936,0.5972,0.5974
LSTM-sg9,0.5364,0.4778,0.4752
