,fc1_rmse_mean,fc1_rmse_std,fc1_rmse_max,fc1_rmse_min,fc1_r2_mean,fc1_r2_std,fc1_r2_max,fc1_r2_min,test_loss_mean,test_loss_std,test_loss_max,test_loss_min,train_loss_mean,train_loss_std,train_loss_max,train_loss_min
CNN-sg9,0.6761,0.2414,0.8487,0.3347,0.0815,0.5083,0.8003,-0.2839,0.1072,0.0352,0.1325,0.0573,42.3465,23.1746,58.8539,9.573
RNN-sg9,0.2832,0.0076,0.2933,0.275,0.8569,0.0077,0.8652,0.8466,0.0531,0.0018,0.0557,0.0516,5.4018,0.3007,5.8244,5.1498
GRU-sg9,0.2555,0.0122,0.2727,0.2461,0.8834,0.0113,0.892,0.8674,0.0464,0.0009,0.0476,0.0454,4.2247,0.2369,4.5518,3.9984
DNN-sg9,0.3396,0.0019,0.3418,0.3371,0.7944,0.0023,0.7975,0.7918,0.0573,0.0001,0.0574,0.0572,9.5899,0.1132,9.75,9.5075
LSTM-sg9,0.2566,0.0182,0.2801,0.2357,0.882,0.0168,0.901,0.8602,0.0506,0.0025,0.0527,0.0471,4.071,0.3166,4.4811,3.7103
