,0,1,2
CNN-sg9,0.8448,0.3347,0.8487
RNN-sg9,0.2814,0.275,0.2933
GRU-sg9,0.2461,0.2476,0.2727
DNN-sg9,0.3371,0.3418,0.3399
LSTM-sg9,0.2801,0.2541,0.2357
