,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.22383,0.33857,2.01398,2.43367,1.70833,2.82272
TestRMSE,1.99315,0.25619,1.83436,2.15194,1.69742,2.51598
Step1,1.17368,0.31863,0.97619,1.37117,0.79268,1.7385
Step2,1.04419,0.20676,0.91604,1.17234,0.69757,1.39547
Step3,1.17834,0.19403,1.05808,1.29861,0.87976,1.47767
