,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,0.24498,0.00171,0.24392,0.24605,0.24284,0.24789
TestRMSE,0.91042,0.00249,0.90888,0.91197,0.90709,0.91633
Step1,0.34524,0.00181,0.34412,0.34636,0.34188,0.34969
Step2,0.52185,0.00166,0.52082,0.52288,0.51976,0.5256
Step3,0.66132,0.00166,0.6603,0.66235,0.65868,0.66418
