,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainMSE,2.56022,1.59783,1.56988,3.55056,0.99652,6.2492
TestMSE,3.04576,1.93125,1.84876,4.24276,1.09367,7.54274
Step1,3.33813,1.875,2.17599,4.50027,0.94465,6.29202
Step2,2.78172,2.68589,1.11699,4.44646,0.74699,9.73879
Step3,3.01742,2.06828,1.73549,4.29936,0.80545,6.59742
