,Mean,Standard Deviation,CI_LB,CI_UB,Min,Max
TrainRMSE,2.54125,0.58888,2.17625,2.90624,1.90758,3.64024
TestRMSE,2.21042,0.40889,1.95699,2.46385,1.68702,2.86671
Step1,1.15611,0.30213,0.96885,1.34338,0.7975,1.72288
Step2,1.39998,0.43946,1.1276,1.67236,0.76027,2.18335
Step3,1.1637,0.3435,0.9508,1.37661,0.76182,1.64786
